date,ridership Lakeshore West ALDERSHOT GO,total_train_trips Lakeshore West ALDERSHOT GO
2021-06-07,1471,30
2021-06-08,1376,30
2021-06-09,1484,30
2021-06-10,1541,30
2021-06-11,1942,30
2021-06-12,1710,18
2021-06-13,1315,19
2021-06-14,1511,30
2021-06-15,1711,30
2021-06-16,1742,30
2021-06-17,1888,30
2021-06-18,1796,30
2021-06-19,1754,19
2021-06-20,1674,19
2021-06-21,1680,30
2021-06-22,1816,30
2021-06-23,1904,30
2021-06-24,1966,30
2021-06-25,1965,26
2021-06-26,1293,19
2021-06-27,1412,20
2021-06-28,1838,30
2021-06-29,1793,30
2021-06-30,2231,30
2021-07-01,1272,19
2021-07-02,1869,30
2021-07-03,1927,19
2021-07-04,1455,16
2021-07-05,2040,30
2021-07-06,2019,30
2021-07-07,1995,30
2021-07-08,1859,30
2021-07-09,2468,30
2021-07-10,3250,37
2021-07-11,2129,37
2021-07-12,2186,30
2021-07-13,2130,30
2021-07-14,2327,30
2021-07-15,2339,30
2021-07-16,2663,30
2021-07-17,2146,19
2021-07-18,1921,19
2021-07-19,2277,30
2021-07-20,2273,30
2021-07-21,3176,30
2021-07-22,2644,30
2021-07-23,3006,24
2021-07-24,2323,37
2021-07-25,2211,36
2021-07-26,2356,30
2021-07-27,2404,30
2021-07-28,2900,30
2021-07-29,2518,29
2021-07-30,3896,29
2021-07-31,2273,29
2021-08-01,2903,37
2021-08-02,2693,37
2021-08-03,3228,29
2021-08-04,3414,30
2021-08-05,3518,29
2021-08-06,4042,30
2021-08-07,2243,19
2021-08-08,1427,21
2021-08-09,1216,16
2021-08-10,1359,16
2021-08-11,1345,16
2021-08-12,1485,16
2021-08-13,1793,17
2021-08-14,2130,21
2021-08-15,1366,22
2021-08-16,1338,16
2021-08-17,1371,16
2021-08-18,1524,16
2021-08-19,1553,16
2021-08-20,2007,17
2021-08-21,2040,21
2021-08-22,1409,21
2021-08-23,1583,16
2021-08-24,1694,16
2021-08-25,1767,16
2021-08-26,1772,16
2021-08-27,1702,16
2021-08-28,1845,21
2021-08-29,1139,21
2021-08-30,1454,15
2021-08-31,1773,16
2021-09-01,1814,16
2021-09-02,2171,15
2021-09-03,1958,16
2021-09-04,1956,18
2021-09-05,1623,18
2021-09-06,1108,18
2021-09-07,1231,15
2021-09-08,1507,15
2021-09-09,1226,15
2021-09-10,1607,15
2021-09-13,1327,15
2021-09-14,1398,15
2021-09-15,1423,15
2021-09-16,1196,14
2021-09-17,1625,15
2021-09-18,2104,18
2021-09-19,1311,18
2021-09-20,1182,15
2021-09-21,1204,15
2021-09-22,1126,15
2021-09-23,1208,15
2021-09-24,1773,15
2021-09-25,1562,18
2021-09-26,1103,17
2021-09-27,1231,15
2021-09-28,1548,15
2021-09-29,1846,15
2021-09-30,1691,15
2021-10-01,1889,15
2021-10-02,1948,18
2021-10-03,1606,18
2021-10-04,1118,15
2021-10-05,1374,15
2021-10-06,1365,15
2021-10-07,1491,15
2021-10-08,1522,15
2021-10-09,1322,17
2021-10-10,1408,17
2021-10-11,1473,18
2021-10-12,1402,15
2021-10-13,2140,15
2021-10-14,1040,11
2021-10-15,1438,15
2021-10-16,2002,18
2021-10-17,1127,18
2021-10-18,1377,15
2021-10-19,1203,15
2021-10-20,1452,15
2021-10-21,1342,15
2021-10-22,1613,14
2021-10-23,2090,18
2021-10-24,1232,18
2021-10-25,1315,15
2021-10-26,1166,15
2021-10-27,1677,14
2021-10-28,1389,15
2021-10-29,1646,15
2021-10-30,1461,18
2021-10-31,1055,18
2021-11-01,1175,15
2021-11-02,1555,15
2021-11-03,1393,15
2021-11-04,1612,15
2021-11-05,1675,15
2021-11-06,1664,18
2021-11-07,1468,18
2021-11-08,1494,15
2021-11-09,1217,15
2021-11-10,1415,15
2021-11-11,1337,15
2021-11-12,1964,15
2021-11-14,1,1
2021-11-15,1317,15
2021-11-16,1639,15
2021-11-17,1410,15
2021-11-18,1607,15
2021-11-19,1566,15
2021-11-20,558,1
2021-11-22,1249,15
2021-11-23,1269,15
2021-11-24,1369,15
2021-11-25,1669,15
2021-11-26,1904,15
2021-11-27,1475,18
2021-11-28,1156,18
2021-11-29,1640,15
2021-11-30,2106,15
2021-12-01,2414,15
2021-12-02,2264,15
2021-12-03,2173,15
2021-12-04,1673,18
2021-12-05,1851,18
2021-12-06,1223,15
2021-12-07,1637,15
2021-12-08,1713,15
2021-12-09,1675,15
2021-12-10,1898,15
2021-12-11,1487,17
2021-12-12,992,18
2021-12-13,1367,15
2021-12-14,1345,15
2021-12-15,1376,15
2021-12-16,1374,15
2021-12-17,1468,15
2021-12-18,1323,18
2021-12-19,937,18
2021-12-20,987,15
2021-12-21,1058,15
2021-12-22,1044,15
2021-12-23,902,15
2021-12-24,579,15
2021-12-25,469,18
2021-12-26,693,18
2021-12-27,769,18
2021-12-28,983,18
2021-12-29,807,15
2021-12-30,745,15
2021-12-31,695,15
2022-01-01,540,18
2022-01-02,596,18
2022-01-03,716,18
2022-01-04,731,15
2022-01-05,618,15
2022-01-06,588,15
2022-01-07,634,15
2022-01-09,434,18
2022-01-10,674,15
2022-01-11,610,15
2022-01-12,680,15
2022-01-13,698,15
2022-01-14,767,15
2022-01-15,513,18
2022-01-16,541,18
2022-01-17,345,15
2022-01-18,830,15
2022-01-19,1009,15
2022-01-20,1001,15
2022-01-21,1114,15
2022-01-24,1039,15
2022-01-25,1063,15
2022-01-26,1023,15
2022-01-27,1141,15
2022-01-28,1175,15
2022-01-31,1264,15
2022-02-01,1424,15
2022-02-02,1307,15
2022-02-03,1166,15
2022-02-04,1452,15
2022-02-07,1559,15
2022-02-08,1552,15
2022-02-09,1553,15
2022-02-10,1631,15
2022-02-11,1610,15
2022-02-14,1553,15
2022-02-15,1610,15
2022-02-16,1665,15
2022-02-17,1797,15
2022-02-18,1611,15
2022-02-22,1761,15
2022-02-23,1889,15
2022-02-24,2179,15
2022-02-25,1871,15
2022-02-28,1901,15
2022-03-01,2329,15
2022-03-02,2545,15
2022-03-03,2470,15
2022-03-04,2519,15
2022-03-05,229,1
2022-03-07,1958,15
2022-03-08,2728,15
2022-03-09,2676,15
2022-03-10,2773,15
2022-03-11,2703,15
2022-03-13,4,1
2022-03-14,2340,15
2022-03-15,2700,15
2022-03-16,2616,15
2022-03-17,3496,15
2022-03-18,3089,15
2022-03-19,163,0
2022-03-21,2186,15
2022-03-22,2450,15
2022-03-23,2806,15
2022-03-24,2919,15
2022-03-25,2894,15
2022-03-26,51,0
2022-03-27,200,0
2022-03-28,2474,15
2022-03-29,2590,15
2022-03-30,2981,15
2022-03-31,3121,15
2022-04-01,2404,15
2022-04-02,1946,18
2022-04-03,707,1
2022-04-04,2510,19
2022-04-05,3134,19
2022-04-06,3320,19
