date,ridership Barrie AURORA GO,total_train_trips Barrie AURORA GO
2020-12-08,59,8
2020-12-09,69,8
2020-12-10,71,8
2020-12-11,92,8
2020-12-12,43,8
2020-12-13,88,8
2020-12-14,65,8
2020-12-15,57,8
2020-12-16,67,8
2020-12-17,67,8
2020-12-18,80,8
2020-12-19,37,8
2020-12-20,48,8
2020-12-21,66,8
2020-12-22,65,8
2020-12-23,64,8
2020-12-24,65,8
2020-12-25,41,8
2020-12-26,44,8
2020-12-27,38,5
2020-12-28,38,8
2020-12-29,68,8
2020-12-30,68,8
2020-12-31,60,8
2021-01-01,34,8
2021-01-02,36,8
2021-01-03,46,8
2021-01-04,52,8
2021-01-05,58,8
2021-01-06,59,8
2021-01-07,63,8
2021-01-08,65,8
2021-01-09,35,8
2021-01-10,42,8
2021-01-11,55,8
2021-01-12,54,8
2021-01-13,57,8
2021-01-14,53,8
2021-01-15,52,8
2021-01-16,29,8
2021-01-17,31,8
2021-01-18,40,8
2021-01-19,51,8
2021-01-20,36,8
2021-01-21,57,8
2021-01-22,57,8
2021-01-25,39,6
2021-01-26,37,6
2021-01-27,38,6
2021-01-28,43,6
2021-01-29,38,6
2021-02-01,39,6
2021-02-02,37,6
2021-02-03,36,6
2021-02-04,48,6
2021-02-05,45,6
2021-02-08,48,6
2021-02-09,33,6
2021-02-10,43,6
2021-02-11,42,6
2021-02-12,48,6
2021-02-16,42,6
2021-02-17,51,6
2021-02-18,43,6
2021-02-19,55,6
2021-02-22,49,6
2021-02-23,52,6
2021-02-24,52,6
2021-02-25,49,6
2021-02-26,50,6
2021-03-01,33,4
2021-03-02,48,6
2021-03-03,50,6
2021-03-04,50,6
2021-03-05,45,6
2021-03-08,60,6
2021-03-09,70,6
2021-03-10,65,6
2021-03-11,58,6
2021-03-12,67,6
2021-03-15,65,6
2021-03-16,53,6
2021-03-17,61,6
2021-03-18,57,5
2021-03-19,62,6
2021-03-22,69,6
2021-03-23,62,6
2021-03-24,62,6
2021-03-25,77,6
2021-03-26,65,6
2021-03-29,60,6
2021-03-30,75,6
2021-03-31,59,6
2021-04-01,67,6
2021-04-05,77,6
2021-04-06,57,6
2021-04-07,62,6
2021-04-08,55,6
2021-04-09,49,6
2021-04-12,57,6
2021-04-13,49,6
2021-04-14,62,6
2021-04-15,56,6
2021-04-16,57,6
2021-04-19,51,6
2021-04-20,38,6
2021-04-21,42,6
2021-04-22,47,6
2021-04-23,60,6
2021-04-26,43,6
2021-04-27,47,6
2021-04-28,45,6
2021-04-29,47,6
2021-04-30,44,5
2021-05-03,52,6
2021-05-04,40,6
2021-05-05,41,6
2021-05-06,51,6
2021-05-07,49,6
2021-05-10,59,6
2021-05-11,61,6
2021-05-12,56,6
2021-05-13,46,6
2021-05-14,58,6
2021-05-17,52,6
2021-05-18,58,6
2021-05-19,48,6
2021-05-20,50,6
2021-05-21,66,5
2021-05-25,60,6
2021-05-26,60,6
2021-05-27,63,6
2021-05-28,52,4
2021-05-31,78,6
2021-06-01,56,6
2021-06-02,65,6
2021-06-03,55,6
2021-06-04,71,6
2021-06-07,56,5
2021-06-08,56,6
2021-06-09,59,6
2021-06-10,83,6
2021-06-11,95,6
2021-06-14,62,5
2021-06-15,83,6
2021-06-16,99,6
2021-06-17,83,6
2021-06-18,93,6
2021-06-21,86,6
2021-06-22,95,6
2021-06-23,125,6
2021-06-24,114,6
2021-06-25,111,5
2021-06-28,94,5
2021-06-29,81,6
2021-06-30,106,6
2021-07-02,140,6
2021-07-05,112,5
2021-07-06,89,5
2021-07-07,89,6
2021-07-08,82,6
2021-07-09,146,6
2021-07-12,86,6
2021-07-13,102,6
2021-07-14,137,6
2021-07-15,107,6
2021-07-16,151,6
2021-07-19,135,6
2021-07-20,105,6
2021-07-21,151,6
2021-07-22,143,6
2021-07-23,191,6
2021-07-26,136,6
2021-07-27,108,6
2021-07-28,173,6
2021-07-29,144,6
2021-07-30,247,6
2021-08-03,213,5
2021-08-04,184,6
2021-08-05,175,5
2021-08-06,213,6
2021-08-09,186,7
2021-08-10,134,7
2021-08-11,169,7
2021-08-12,165,7
2021-08-13,257,7
2021-08-14,209,5
2021-08-15,195,9
2021-08-16,212,7
2021-08-17,153,7
2021-08-18,163,7
2021-08-19,211,7
2021-08-20,295,7
2021-08-21,273,9
2021-08-22,261,9
2021-08-23,191,7
2021-08-24,207,6
2021-08-25,202,7
2021-08-26,295,7
2021-08-27,271,7
2021-08-28,287,9
2021-08-29,182,8
2021-08-30,222,7
2021-08-31,190,7
2021-09-01,262,7
2021-09-02,218,7
2021-09-03,287,6
2021-09-04,291,9
2021-09-05,227,9
2021-09-06,194,9
2021-09-07,163,6
2021-09-08,144,6
2021-09-09,149,6
2021-09-10,181,6
2021-09-11,285,9
2021-09-12,168,8
2021-09-13,138,6
2021-09-14,168,6
2021-09-15,145,4
2021-09-16,171,6
2021-09-17,203,6
2021-09-18,476,13
2021-09-19,250,8
2021-09-20,145,6
2021-09-21,118,6
2021-09-22,94,5
2021-09-23,126,5
2021-09-24,202,6
2021-09-25,238,9
2021-09-26,219,9
2021-09-27,138,6
2021-09-28,154,6
2021-09-29,169,6
2021-09-30,203,6
2021-10-01,202,6
2021-10-04,125,6
2021-10-05,171,6
2021-10-06,151,6
2021-10-07,156,6
2021-10-08,180,6
2021-10-09,196,9
2021-10-10,200,9
2021-10-11,280,9
2021-10-12,170,6
2021-10-13,201,6
2021-10-14,171,6
2021-10-15,193,6
2021-10-16,316,9
2021-10-17,178,9
2021-10-18,155,6
2021-10-19,156,6
2021-10-20,155,5
2021-10-21,177,5
2021-10-22,227,6
2021-10-23,325,9
2021-10-24,190,8
2021-10-25,126,6
2021-10-26,130,6
2021-10-27,185,5
2021-10-28,199,6
2021-10-29,219,6
2021-10-30,334,9
2021-10-31,189,9
2021-11-01,122,6
2021-11-02,147,6
2021-11-03,174,6
2021-11-04,184,6
2021-11-05,201,6
2021-11-06,333,9
2021-11-07,235,9
2021-11-08,142,6
2021-11-09,131,6
2021-11-10,139,6
2021-11-11,141,6
2021-11-12,208,6
2021-11-13,307,9
2021-11-14,191,9
2021-11-15,151,6
2021-11-16,165,6
2021-11-17,156,6
2021-11-18,188,6
2021-11-19,210,6
2021-11-20,510,13
2021-11-21,185,9
2021-11-22,131,6
2021-11-23,152,6
2021-11-24,177,6
2021-11-25,182,6
2021-11-26,204,6
2021-11-27,264,9
2021-11-28,254,9
2021-11-29,126,6
2021-11-30,152,6
2021-12-01,183,6
2021-12-02,184,6
2021-12-03,194,6
2021-12-04,242,9
2021-12-05,224,9
2021-12-06,122,6
2021-12-07,156,6
2021-12-08,172,6
2021-12-09,175,6
2021-12-10,190,6
2021-12-11,297,9
2021-12-12,185,9
2021-12-13,150,6
2021-12-14,165,6
2021-12-15,78,6
2021-12-16,175,6
2021-12-17,209,6
2021-12-18,169,9
2021-12-19,124,9
2021-12-20,127,6
2021-12-21,128,6
2021-12-22,127,6
2021-12-23,135,6
2021-12-24,82,6
2021-12-25,51,9
2021-12-26,93,9
2021-12-27,131,9
2021-12-28,161,9
2021-12-29,117,6
2021-12-30,111,6
