date,ridership Barrie ALLANDALE WATERFRONT GO,total_train_trips Barrie ALLANDALE WATERFRONT GO
2022-07-01,791,6
2022-07-02,1039,6
2022-07-03,854,6
2022-07-04,1662,8
2022-07-05,2280,8
2022-07-06,2399,8
2022-07-07,2164,8
2022-07-08,1348,8
2022-07-09,811,6
2022-07-10,623,6
2022-07-11,1845,8
2022-07-12,2469,8
2022-07-13,2469,8
2022-07-14,2329,8
2022-07-15,1368,8
2022-07-16,1172,6
2022-07-17,901,6
2022-07-18,1670,8
2022-07-19,2447,8
2022-07-20,2447,8
2022-07-21,2290,8
2022-07-22,1143,7
2022-07-23,863,6
2022-07-24,613,6
2022-07-25,1725,8
2022-07-26,2361,8
2022-07-27,2521,8
2022-07-28,2212,8
2022-07-29,1244,8
2022-07-30,1187,6
2022-07-31,963,6
2022-08-01,695,6
2022-08-02,2196,8
2022-08-03,2301,8
2022-08-04,2074,8
2022-08-05,1272,8
2022-08-06,858,6
2022-08-07,681,6
2022-08-08,1900,8
2022-08-09,2423,8
2022-08-10,2562,8
2022-08-11,2251,8
2022-08-12,1269,8
2022-08-13,1278,6
2022-08-14,1016,6
2022-08-15,1900,8
2022-08-16,2565,8
2022-08-17,2634,8
2022-08-18,2299,8
2022-08-19,1366,8
2022-08-20,1145,6
2022-08-21,941,6
2022-08-22,1759,8
2022-08-23,2539,8
2022-08-24,2694,8
2022-08-25,2382,8
2022-08-26,1634,8
2022-08-27,1785,6
2022-08-28,1357,5
2022-08-29,1835,7
2022-08-30,2421,11
2022-08-31,2584,8
2022-09-01,2145,8
2022-09-02,1288,8
2022-09-03,1102,6
2022-09-04,1062,6
2022-09-05,877,6
2022-09-06,2945,8
2022-09-07,3072,8
