date,ridership Richmond Hill UNION STATION,total_train_trips Richmond Hill UNION STATION
2022-10-26,1234,4
2022-10-27,1190,4
2022-10-28,507,4
2022-10-31,778,4
2022-11-01,1272,4
2022-11-02,1371,4
2022-11-03,1156,4
2022-11-04,481,4
2022-11-07,747,4
2022-11-08,1239,4
2022-11-09,1250,4
2022-11-10,1050,4
2022-11-11,323,4
2022-11-14,803,4
2022-11-15,1223,4
2022-11-16,1169,4
2022-11-17,1128,4
2022-11-18,457,4
2022-11-21,769,4
2022-11-22,1261,4
2022-11-23,1227,4
2022-11-24,1040,4
2022-11-25,435,4
2022-11-28,817,4
2022-11-29,1256,4
2022-11-30,1221,4
2022-12-01,1097,4
2022-12-02,503,4
2022-12-05,806,4
2022-12-06,1199,4
2022-12-07,1226,4
2022-12-08,1083,4
2022-12-09,443,4
2022-12-12,801,4
2022-12-13,1212,4
2022-12-14,1170,4
2022-12-15,581,4
2022-12-16,356,4
2022-12-19,579,4
2022-12-20,800,4
2022-12-21,659,4
2022-12-22,471,4
2022-12-23,122,4
2022-12-28,221,4
2022-12-29,204,4
2022-12-30,137,4
