date,ridership Barrie,total_train_trips Barrie
2022-01-27,1363,26
2022-01-28,1237,26
2022-01-31,1452,26
2022-02-01,1621,26
2022-02-02,1596,26
2022-02-03,1421,26
2022-02-04,1549,26
2022-02-07,1850,26
2022-02-08,1851,26
2022-02-09,1784,26
2022-02-10,1981,26
2022-02-11,1769,26
2022-02-14,1936,26
2022-02-15,2120,26
2022-02-16,2079,26
2022-02-17,2035,26
2022-02-18,1741,26
2022-02-22,2084,26
2022-02-23,2281,26
2022-02-24,2202,26
2022-02-25,1864,26
2022-02-28,2687,26
2022-03-01,2892,26
2022-03-02,2910,26
2022-03-03,2833,26
2022-03-04,2421,26
2022-03-07,2802,26
2022-03-08,3165,26
2022-03-09,3315,26
2022-03-10,3112,26
2022-03-11,2625,26
2022-03-14,2973,26
2022-03-15,3209,26
2022-03-16,3381,26
2022-03-17,3495,26
2022-03-18,2868,26
2022-03-21,2926,26
2022-03-22,3458,26
2022-03-23,3176,26
2022-03-24,3437,26
2022-03-25,2683,26
2022-03-28,2996,26
2022-03-29,3449,26
2022-03-30,3433,26
2022-03-31,3442,26
2022-04-01,2531,26
2022-04-04,3202,24
2022-04-05,3693,24
2022-04-06,3847,24
2022-04-07,3484,24
2022-04-08,2701,24
2022-04-11,3032,24
2022-04-12,3706,24
2022-04-13,3739,24
2022-04-14,3353,24
2022-04-18,2185,24
2022-04-19,3346,24
2022-04-20,3479,24
2022-04-21,3184,24
2022-04-22,2483,24
2022-04-25,2791,24
2022-04-26,3646,24
2022-04-27,3657,24
2022-04-28,3776,24
2022-04-29,2688,24
2022-05-02,3147,24
2022-05-03,3844,24
2022-05-04,3987,24
2022-05-05,3908,24
2022-05-06,2886,24
2022-05-09,3407,24
2022-05-10,4227,24
2022-05-11,4240,24
2022-05-12,4016,24
2022-05-13,2748,24
2022-05-16,2928,24
2022-05-17,4573,24
2022-05-18,4645,24
2022-05-19,4238,24
2022-05-20,2825,24
2022-05-21,1764,30
2022-05-22,2101,30
2022-05-23,1406,30
2022-05-24,4432,30
2022-05-25,4913,30
2022-05-26,4725,30
2022-05-27,3148,30
2022-05-28,1877,30
2022-05-29,1561,30
2022-05-30,3725,30
2022-05-31,4826,30
2022-06-01,5201,30
2022-06-02,5129,30
2022-06-03,3343,30
2022-06-06,3938,30
2022-06-07,4924,30
2022-06-08,5562,30
2022-06-09,5195,30
2022-06-10,3422,30
2022-06-11,2414,30
2022-06-12,1576,30
2022-06-13,4534,30
2022-06-14,5706,30
2022-06-15,5819,30
2022-06-16,5675,28
2022-06-17,3686,29
2022-06-18,3118,30
2022-06-19,2638,30
2022-06-20,4284,30
2022-06-21,5472,28
2022-06-22,5898,28
2022-06-23,5617,30
2022-06-24,3665,30
2022-06-25,2749,30
2022-06-26,2592,30
2022-06-27,4616,30
2022-06-28,5939,30
2022-06-29,5768,30
2022-06-30,4482,30
2022-07-01,2944,30
2022-07-02,3562,30
2022-07-03,2696,30
2022-07-04,3846,30
2022-07-05,5058,30
2022-07-06,5417,30
2022-07-07,5034,30
2022-07-08,3741,30
2022-07-09,2852,30
2022-07-10,2031,30
2022-07-11,4287,30
2022-07-12,5611,30
2022-07-13,5599,30
2022-07-14,5399,30
2022-07-15,3577,30
2022-07-16,3449,28
2022-07-17,2945,30
2022-07-18,3846,30
2022-07-19,5394,28
2022-07-20,5583,30
2022-07-21,5292,30
2022-07-22,2876,25
2022-07-23,2811,26
2022-07-24,1817,30
2022-07-25,4081,30
2022-07-26,5362,30
2022-07-27,5871,30
2022-07-28,5201,30
2022-07-29,3713,30
2022-07-30,4211,30
2022-07-31,3643,30
2022-08-01,1871,30
2022-08-02,5002,30
2022-08-03,5354,30
2022-08-04,4884,30
2022-08-05,3414,30
2022-08-06,2816,30
2022-08-07,2055,30
2022-08-08,4359,30
2022-08-09,5445,30
2022-08-10,5832,30
2022-08-11,5262,30
2022-08-12,3632,30
2022-08-13,3695,22
2022-08-14,2911,22
2022-08-15,4527,30
