date,ridership Lakeshore West UNION STATION Midday,total_train_trips Lakeshore West UNION STATION Midday
2022-09-22,1657,12
2022-09-23,1830,12
2022-09-26,1490,12
2022-09-27,1567,12
2022-09-28,1678,12
2022-09-29,1682,12
2022-09-30,1866,12
2022-10-03,1559,12
2022-10-04,1573,12
2022-10-05,1679,12
2022-10-06,1758,12
2022-10-07,2068,12
2022-10-11,1503,12
2022-10-12,1545,12
2022-10-13,1473,12
2022-10-14,1560,12
2022-10-17,1505,12
2022-10-18,1548,12
2022-10-19,1609,12
2022-10-20,1729,12
2022-10-21,1720,12
2022-10-24,1507,12
2022-10-25,1449,12
2022-10-26,1545,12
2022-10-27,1641,12
2022-10-28,1648,12
2022-10-31,1499,12
2022-11-01,1566,12
2022-11-02,1677,12
2022-11-03,1632,12
2022-11-04,1816,12
2022-11-07,1795,12
2022-11-08,1776,12
2022-11-09,1880,12
2022-11-10,1991,12
2022-11-11,1947,12
2022-11-14,1388,12
2022-11-15,1517,12
2022-11-16,1540,12
2022-11-17,1532,12
2022-11-18,1634,12
2022-11-21,1391,12
2022-11-22,1481,12
2022-11-23,1514,12
2022-11-24,1733,12
2022-11-25,1882,12
2022-11-28,1501,12
2022-11-29,1563,12
2022-11-30,1587,12
2022-12-01,1653,12
2022-12-02,1897,12
2022-12-05,1346,12
2022-12-06,1381,12
2022-12-07,1527,12
2022-12-08,1582,12
2022-12-09,1533,12
2022-12-12,1387,12
2022-12-13,1392,11
2022-12-14,1539,12
2022-12-15,1550,12
2022-12-16,1516,12
2022-12-19,1213,12
2022-12-20,1354,12
2022-12-21,1403,12
2022-12-22,1552,12
2022-12-23,1490,12
2022-12-28,1135,12
2022-12-29,1296,12
2022-12-30,1373,12
