date,ridership Milton UNION STATION PM Peak,total_train_trips Milton UNION STATION PM Peak
2021-05-20,364,4
2021-05-21,257,4
2021-05-25,357,4
2021-05-26,366,4
2021-05-27,370,4
2021-05-28,321,4
2021-05-31,373,4
2021-06-01,378,4
2021-06-02,400,4
2021-06-03,382,4
2021-06-04,357,4
2021-06-07,379,4
2021-06-08,392,4
2021-06-09,405,4
2021-06-10,410,4
2021-06-11,364,4
2021-06-14,401,4
2021-06-15,438,4
2021-06-16,422,4
2021-06-17,347,4
2021-06-18,382,4
2021-06-21,427,4
2021-06-22,445,4
2021-06-23,424,4
2021-06-24,447,4
2021-06-25,389,4
2021-06-28,424,4
2021-06-29,453,4
2021-06-30,434,4
2021-07-02,275,4
2021-07-05,443,4
2021-07-06,466,4
2021-07-07,471,4
2021-07-08,459,4
2021-07-09,427,4
2021-07-12,478,4
2021-07-13,482,4
2021-07-14,512,4
2021-07-15,512,4
2021-07-16,448,4
2021-07-19,488,4
2021-07-20,381,3
2021-07-21,541,4
2021-07-22,517,4
2021-07-23,438,4
2021-07-26,545,4
2021-07-27,553,4
2021-07-28,590,4
2021-07-29,552,4
2021-07-30,483,4
2021-08-03,524,4
2021-08-04,595,4
2021-08-05,565,4
2021-08-06,508,4
2021-08-09,540,4
2021-08-10,596,4
2021-08-11,598,4
2021-08-12,581,4
2021-08-13,482,4
2021-08-16,581,4
2021-08-17,604,4
2021-08-18,636,4
2021-08-19,602,4
2021-08-20,510,4
2021-08-23,564,4
2021-08-24,637,4
2021-08-25,628,4
2021-08-26,650,4
2021-08-27,557,4
2021-08-30,587,4
2021-08-31,645,4
2021-09-01,677,4
2021-09-02,666,4
2021-09-03,517,4
2021-09-07,718,8
2021-09-08,767,8
2021-09-09,760,8
2021-09-10,660,8
2021-09-13,758,8
2021-09-14,871,8
2021-09-15,857,8
2021-09-16,843,8
2021-09-17,729,8
2021-09-20,805,7
2021-09-21,918,8
2021-09-22,871,8
2021-09-23,910,8
2021-09-24,773,8
2021-09-27,867,8
2021-09-28,934,8
2021-09-29,934,8
2021-09-30,826,8
2021-10-01,734,8
2021-10-04,848,8
2021-10-05,990,8
2021-10-06,972,8
2021-10-07,918,8
2021-10-08,768,8
2021-10-12,952,8
2021-10-13,1029,8
2021-10-14,980,8
2021-10-15,809,8
2021-10-18,898,7
2021-10-19,1062,8
2021-10-20,1044,8
2021-10-21,1029,8
2021-10-22,828,8
2021-10-25,941,8
2021-10-26,1098,8
2021-10-27,1101,8
2021-10-28,1061,8
2021-10-29,784,8
2021-11-01,970,8
2021-11-02,1177,8
2021-11-03,1199,8
2021-11-04,1143,8
2021-11-05,875,8
2021-11-08,1019,8
2021-11-09,1201,8
2021-11-10,1212,8
2021-11-11,910,8
2021-11-12,839,8
2021-11-15,1085,8
2021-11-16,1243,8
2021-11-17,1217,8
2021-11-18,1211,8
2021-11-19,904,8
2021-11-22,1079,8
2021-11-23,1278,8
2021-11-24,1306,8
2021-11-25,1182,8
2021-11-26,858,8
2021-11-29,1033,8
2021-11-30,1213,8
2021-12-01,1252,8
2021-12-02,1186,8
2021-12-03,891,8
2021-12-06,1063,8
2021-12-07,1259,8
2021-12-08,1222,8
2021-12-09,1139,8
2021-12-10,910,8
2021-12-13,963,8
2021-12-14,1150,8
2021-12-15,1054,8
2021-12-16,927,8
2021-12-17,697,8
2021-12-20,593,8
2021-12-21,609,8
2021-12-22,550,8
2021-12-23,476,8
2021-12-24,169,4
2021-12-29,317,8
2021-12-30,299,8
2021-12-31,124,4
2022-01-04,486,8
2022-01-05,427,8
2022-01-06,412,8
2022-01-07,369,8
2022-01-10,417,4
2022-01-11,415,4
2022-01-12,456,4
2022-01-13,456,4
2022-01-14,414,4
2022-01-17,188,4
2022-01-18,412,4
2022-01-19,512,4
2022-01-20,529,4
2022-01-21,460,4
2022-01-24,530,4
2022-01-25,555,4
2022-01-26,530,4
2022-01-27,554,4
2022-01-28,520,4
2022-01-31,593,4
2022-02-01,672,4
2022-02-02,659,4
2022-02-03,574,4
2022-02-04,463,4
2022-02-07,755,4
2022-02-08,760,4
2022-02-09,776,4
2022-02-10,768,4
2022-02-11,663,4
2022-02-14,771,4
2022-02-15,859,4
2022-02-16,836,4
2022-02-17,800,4
2022-02-18,549,4
2022-02-22,863,4
2022-02-23,926,4
2022-02-24,866,4
2022-02-25,679,4
2022-02-28,972,4
2022-03-01,1158,4
2022-03-02,1121,4
2022-03-03,1102,4
2022-03-04,863,4
2022-03-07,1092,4
2022-03-08,1281,4
2022-03-09,1203,4
2022-03-10,1204,4
2022-03-11,969,4
2022-03-14,1088,4
2022-03-15,1234,4
2022-03-16,1205,4
2022-03-17,1012,4
2022-03-18,873,4
2022-03-21,1203,4
2022-03-22,1479,4
2022-03-23,1344,4
2022-03-24,1346,4
2022-03-25,952,4
2022-03-28,1246,4
2022-03-29,1499,4
2022-03-30,1445,4
2022-03-31,1318,4
2022-04-01,1001,4
2022-04-04,1457,4
2022-04-05,1694,4
2022-04-06,1720,4
2022-04-07,1560,4
2022-04-08,870,4
2022-04-11,1444,4
2022-04-12,1651,4
2022-04-13,1648,4
2022-04-14,1336,4
2022-04-18,905,4
2022-04-19,1519,4
2022-04-20,1566,4
2022-04-21,1454,4
2022-04-22,1034,4
2022-04-25,1378,4
2022-04-26,1734,4
2022-04-27,1663,4
2022-04-28,1556,4
2022-04-29,1046,4
2022-05-02,1353,4
2022-05-03,1750,4
2022-05-04,1822,4
2022-05-05,1742,4
2022-05-06,1085,4
2022-05-09,1519,4
2022-05-10,1943,4
2022-05-11,1992,4
2022-05-12,1803,4
2022-05-13,1080,4
2022-05-16,1644,4
2022-05-17,2128,4
