date,ridership Lakeshore West HAMILTON GO CENTRE AM Peak,total_train_trips Lakeshore West HAMILTON GO CENTRE AM Peak
2022-01-27,261,2
2022-01-28,207,2
2022-01-31,283,2
2022-02-01,314,2
2022-02-02,316,2
2022-02-03,231,2
2022-02-04,279,2
2022-02-07,354,2
2022-02-08,395,2
2022-02-09,402,2
2022-02-10,402,2
2022-02-11,338,2
2022-02-14,365,2
2022-02-15,448,2
2022-02-16,419,2
2022-02-17,396,2
2022-02-18,275,2
2022-02-22,471,2
2022-02-23,462,2
2022-02-24,503,2
2022-02-25,365,2
2022-02-28,489,2
2022-03-01,643,2
2022-03-02,604,2
2022-03-03,579,2
2022-03-04,401,2
2022-03-07,516,2
2022-03-08,718,2
2022-03-09,698,2
2022-03-10,699,2
2022-03-11,458,2
2022-03-14,484,2
2022-03-15,617,2
2022-03-16,611,2
2022-03-17,697,2
2022-03-18,389,2
2022-03-21,609,2
2022-03-22,783,2
2022-03-23,702,2
2022-03-24,734,2
2022-03-25,495,2
2022-03-28,623,2
2022-03-29,768,2
2022-03-30,781,2
2022-03-31,804,2
2022-04-01,487,2
2022-04-04,762,2
2022-04-05,960,2
2022-04-06,948,2
2022-04-07,882,2
2022-04-08,520,2
2022-04-11,735,2
2022-04-12,931,2
2022-04-13,950,2
2022-04-14,697,2
2022-04-18,479,2
2022-04-19,912,2
2022-04-20,918,2
2022-04-21,864,2
2022-04-22,537,2
2022-04-25,703,2
2022-04-26,1031,2
2022-04-27,1019,2
2022-04-28,1003,2
2022-04-29,550,2
2022-05-02,808,2
2022-05-03,1082,2
2022-05-04,1131,2
2022-05-05,1098,2
2022-05-06,601,2
2022-05-09,895,2
2022-05-10,1210,2
2022-05-11,1168,2
2022-05-12,1208,2
2022-05-13,574,2
2022-05-16,943,2
2022-05-17,1307,2
2022-05-18,1288,2
2022-05-19,1143,2
2022-05-20,512,2
2022-05-24,1205,2
2022-05-25,1291,2
2022-05-26,1281,2
2022-05-27,685,2
2022-05-30,954,2
2022-05-31,1384,2
2022-06-01,1354,2
2022-06-02,1243,2
2022-06-03,660,2
2022-06-06,994,2
2022-06-07,1394,2
2022-06-08,1501,2
2022-06-09,1385,2
2022-06-10,681,2
2022-06-13,1066,2
2022-06-14,1473,2
2022-06-15,1552,2
2022-06-16,1427,2
2022-06-17,670,2
2022-06-20,987,2
2022-06-21,1560,2
2022-06-22,1537,2
2022-06-23,1478,2
2022-06-24,630,2
2022-06-27,1019,2
2022-06-28,1439,2
2022-06-29,1413,2
2022-06-30,987,2
2022-07-04,745,2
2022-07-05,1245,2
2022-07-06,1309,2
2022-07-07,1234,2
2022-07-08,553,2
2022-07-11,941,2
2022-07-12,1432,2
2022-07-13,1432,2
2022-07-14,1934,2
2022-07-15,583,2
2022-07-18,851,2
2022-07-19,1377,2
2022-07-20,1412,2
2022-07-21,1278,2
2022-07-22,547,2
2022-07-25,902,2
2022-07-26,1315,2
2022-07-27,1372,2
2022-07-28,1169,2
2022-07-29,476,2
2022-08-02,1114,2
2022-08-03,1267,2
2022-08-04,1180,2
2022-08-05,649,2
2022-08-08,848,2
2022-08-09,1363,2
2022-08-10,2239,2
2022-08-11,1309,2
2022-08-12,663,2
2022-08-15,497,1
2022-08-16,726,1
2022-08-17,769,1
2022-08-18,726,1
2022-08-19,273,1
2022-08-22,793,2
2022-08-23,1352,2
2022-08-24,1315,2
2022-08-25,1218,2
2022-08-26,330,1
2022-08-29,858,2
2022-08-30,1289,2
2022-08-31,677,1
2022-09-01,1038,2
2022-09-02,415,2
2022-09-06,1265,2
2022-09-07,1548,2
2022-09-08,1546,2
2022-09-09,770,2
2022-09-12,1188,2
2022-09-13,2030,2
2022-09-14,1708,2
2022-09-15,1709,2
2022-09-16,738,2
2022-09-19,1143,2
2022-09-20,1805,2
2022-09-21,1775,2
2022-09-22,1704,2
2022-09-23,766,2
2022-09-26,1182,2
2022-09-27,1816,2
2022-09-28,1805,2
2022-09-29,2045,2
2022-09-30,630,2
2022-10-03,1211,2
2022-10-04,1862,2
2022-10-05,1932,2
2022-10-06,1721,2
2022-10-07,674,2
2022-10-11,1706,2
2022-10-12,1795,2
2022-10-13,1737,2
2022-10-14,754,2
2022-10-17,1286,2
2022-10-18,2774,2
2022-10-19,1855,2
2022-10-20,1765,2
2022-10-21,779,2
2022-10-24,1159,2
2022-10-25,1445,2
2022-10-26,1911,2
2022-10-27,1867,2
2022-10-28,742,2
2022-10-31,1585,4
2022-11-01,2643,4
2022-11-02,2939,4
2022-11-03,2529,4
2022-11-04,1211,4
2022-11-07,1915,4
2022-11-08,2870,4
2022-11-09,2833,4
2022-11-10,2612,4
2022-11-11,894,4
2022-11-14,1884,4
2022-11-15,2895,4
2022-11-16,2749,4
2022-11-17,2645,4
2022-11-18,1193,4
2022-11-21,1948,4
2022-11-22,2948,4
2022-11-23,2860,4
2022-11-24,2471,4
2022-11-25,1177,4
2022-11-28,1913,4
2022-11-29,3133,4
2022-11-30,2936,4
2022-12-01,2664,4
2022-12-02,1259,4
2022-12-05,1451,4
2022-12-06,2211,4
2022-12-07,2022,4
2022-12-08,2306,4
2022-12-09,1013,4
2022-12-12,1738,4
2022-12-13,2523,4
2022-12-14,2418,4
2022-12-15,1877,4
2022-12-16,1047,4
2022-12-19,1364,4
2022-12-20,1821,4
2022-12-21,1487,4
2022-12-22,927,4
2022-12-23,300,4
2022-12-28,247,4
2022-12-29,340,4
2022-12-30,245,4
