date,ridership Barrie UNION STATION PM Peak,total_train_trips Barrie UNION STATION PM Peak
2021-10-05,847,6
2021-10-06,832,6
2021-10-07,819,6
2021-10-08,734,4
2021-10-12,817,6
2021-10-13,842,6
2021-10-14,846,6
2021-10-15,675,6
2021-10-18,766,6
2021-10-19,907,6
2021-10-20,893,6
2021-10-21,870,6
2021-10-22,734,5
2021-10-25,760,6
2021-10-26,896,6
2021-10-27,936,6
2021-10-28,838,6
2021-10-29,696,5
2021-11-01,768,6
2021-11-02,952,6
2021-11-03,951,6
2021-11-04,913,6
2021-11-05,748,6
2021-11-08,843,6
2021-11-09,983,6
2021-11-10,985,6
2021-11-11,762,6
2021-11-12,655,6
2021-11-15,776,6
2021-11-16,1016,6
2021-11-17,984,6
2021-11-18,938,6
2021-11-19,758,6
2021-11-22,852,6
2021-11-23,1025,6
2021-11-24,1025,6
2021-11-25,966,6
2021-11-26,735,6
2021-11-29,885,6
2021-11-30,1022,6
2021-12-01,1031,6
2021-12-02,943,6
2021-12-03,781,6
2021-12-06,843,6
2021-12-07,994,6
2021-12-08,963,6
2021-12-09,891,6
2021-12-10,722,6
2021-12-13,831,6
2021-12-14,871,6
2021-12-15,790,6
2021-12-16,705,6
2021-12-17,528,6
2021-12-20,506,6
2021-12-21,505,6
2021-12-22,469,6
2021-12-23,407,6
2021-12-24,219,6
2021-12-29,246,6
2021-12-30,248,6
2021-12-31,165,6
2022-01-04,373,6
2022-01-05,351,6
2022-01-06,347,6
2022-01-07,316,6
2022-01-10,351,4
2022-01-11,342,4
2022-01-12,371,4
2022-01-13,382,4
2022-01-14,361,4
2022-01-17,173,4
2022-01-18,361,4
2022-01-19,433,4
2022-01-20,431,4
2022-01-21,406,4
2022-01-24,441,4
2022-01-25,471,4
2022-01-26,429,4
2022-01-27,463,4
2022-01-28,452,4
2022-01-31,513,4
2022-02-01,550,4
2022-02-02,543,4
2022-02-03,480,4
2022-02-04,508,4
2022-02-07,623,4
2022-02-08,619,4
2022-02-09,599,4
2022-02-10,627,4
2022-02-11,577,4
2022-02-14,620,4
2022-02-15,712,4
2022-02-16,668,4
2022-02-17,650,4
2022-02-18,557,4
2022-02-22,692,4
2022-02-23,755,4
2022-02-24,719,4
2022-02-25,617,4
2022-02-28,811,4
2022-03-01,920,4
2022-03-02,916,4
2022-03-03,871,4
2022-03-04,734,4
2022-03-07,861,4
2022-03-08,981,4
2022-03-09,1011,4
2022-03-10,953,4
2022-03-11,806,4
2022-03-14,896,4
2022-03-15,992,4
2022-03-16,989,4
2022-03-17,980,4
2022-03-18,801,4
2022-03-21,930,4
2022-03-22,1147,4
2022-03-23,1005,4
2022-03-24,1090,4
2022-03-25,799,4
2022-03-28,964,4
2022-03-29,1121,4
2022-03-30,1105,4
2022-03-31,1048,4
2022-04-01,775,4
2022-04-04,1094,4
2022-04-05,1293,4
2022-04-06,1329,4
2022-04-07,1188,4
2022-04-08,839,4
2022-04-11,1082,4
2022-04-12,1299,4
2022-04-13,1335,4
2022-04-14,1110,4
2022-04-18,693,4
2022-04-19,1168,4
2022-04-20,1197,4
2022-04-21,1105,4
2022-04-22,775,4
2022-04-25,970,4
2022-04-26,1318,4
2022-04-27,1323,4
2022-04-28,1235,4
2022-04-29,815,4
2022-05-02,1107,4
2022-05-03,1414,4
2022-05-04,1412,4
2022-05-05,1309,4
2022-05-06,903,4
2022-05-09,1176,4
2022-05-10,1519,4
2022-05-11,1529,4
2022-05-12,1381,4
2022-05-13,887,4
2022-05-16,1002,4
2022-05-17,1682,4
2022-05-18,1667,4
2022-05-19,1482,4
2022-05-20,845,4
2022-05-24,1553,4
2022-05-25,1707,4
2022-05-26,1584,4
2022-05-27,948,4
2022-05-30,1273,4
2022-05-31,1679,4
2022-06-01,1766,4
2022-06-02,1606,4
2022-06-03,947,4
2022-06-06,1211,4
2022-06-07,1534,4
2022-06-08,1919,4
2022-06-09,1747,4
2022-06-10,1005,4
2022-06-13,1492,4
2022-06-14,1927,4
2022-06-15,1985,4
2022-06-16,1781,4
2022-06-17,992,4
2022-06-20,1416,4
2022-06-21,1846,4
2022-06-22,1948,4
2022-06-23,1760,4
2022-06-24,974,4
2022-06-27,1469,4
2022-06-28,1919,4
