date,ridership Stouffville MOUNT JOY GO,total_train_trips Stouffville MOUNT JOY GO
2022-09-14,672,10
2022-09-15,749,10
2022-09-16,679,10
2022-09-17,918,7
2022-09-18,573,7
2022-09-19,528,10
2022-09-20,606,10
2022-09-21,633,10
2022-09-22,766,10
2022-09-23,890,10
2022-09-26,482,6
2022-09-27,466,6
2022-09-28,645,10
2022-09-29,487,6
2022-09-30,542,6
2022-10-01,1129,7
2022-10-02,823,7
2022-10-03,535,10
2022-10-04,584,10
2022-10-05,657,10
2022-10-06,616,10
2022-10-07,758,10
2022-10-08,812,7
2022-10-09,570,7
2022-10-10,522,7
2022-10-11,520,9
2022-10-12,616,10
2022-10-13,554,10
2022-10-14,543,10
2022-10-15,734,12
2022-10-16,403,9
2022-10-17,489,10
2022-10-18,534,10
2022-10-19,588,10
2022-10-20,610,10
2022-10-21,635,10
2022-10-22,787,11
2022-10-23,574,12
2022-10-24,547,10
2022-10-25,582,10
2022-10-26,645,10
2022-10-27,572,9
2022-10-28,645,10
2022-10-29,898,12
2022-10-30,536,12
2022-10-31,503,10
2022-11-01,508,10
2022-11-02,648,10
2022-11-03,567,10
2022-11-04,636,10
2022-11-05,848,12
2022-11-06,708,12
2022-11-07,457,10
2022-11-08,518,10
2022-11-09,605,10
2022-11-10,591,10
2022-11-11,598,10
2022-11-14,516,10
2022-11-15,494,10
2022-11-16,598,10
2022-11-17,576,10
2022-11-18,618,10
2022-11-19,714,12
2022-11-20,493,10
2022-11-21,482,10
2022-11-22,469,10
2022-11-23,604,10
2022-11-24,588,10
2022-11-25,555,10
2022-11-28,498,10
2022-11-29,530,10
2022-11-30,580,10
2022-12-01,620,10
2022-12-02,621,10
2022-12-03,712,12
2022-12-04,515,12
2022-12-05,466,10
2022-12-06,445,10
2022-12-07,608,10
2022-12-08,579,10
2022-12-09,564,10
2022-12-10,750,12
2022-12-11,508,12
2022-12-12,482,10
2022-12-13,545,10
2022-12-14,588,10
2022-12-15,485,10
2022-12-16,605,10
2022-12-17,854,12
2022-12-18,688,12
2022-12-19,432,10
2022-12-20,608,10
2022-12-21,602,10
2022-12-22,640,10
2022-12-23,301,9
2022-12-24,351,12
2022-12-25,301,12
2022-12-26,576,12
2022-12-27,875,12
2022-12-28,657,10
2022-12-29,745,10
2022-12-30,692,10
2022-12-31,685,12
